event_id,session_id,user_id,event_time,event_name,product_id
1,1,33,2024-06-08 17:26:05,view_product,189
2,1,33,2024-06-08 17:34:05,add_to_cart,13
3,1,33,2024-06-08 17:36:05,start_checkout,173
4,1,33,2024-06-08 17:41:05,view_product,99
5,2,402,2024-10-09 08:51:55,view_product,239
6,2,402,2024-10-09 08:52:55,purchase,
7,2,402,2024-10-09 09:05:55,start_checkout,52
8,2,402,2024-10-09 08:54:55,view_product,12
9,2,402,2024-10-09 09:11:55,view_product,120
10,2,402,2024-10-09 09:16:55,add_to_cart,51
11,2,402,2024-10-09 09:45:55,view_product,48
12,2,402,2024-10-09 09:33:55,purchase,
13,3,287,2025-03-18 17:03:17,view_product,220
14,3,287,2025-03-18 17:10:17,add_to_cart,102
15,3,287,2025-03-18 17:17:17,start_checkout,229
16,3,287,2025-03-18 17:15:17,add_to_cart,141
17,4,93,2024-10-26 17:25:24,view_product,161
18,4,93,2024-10-26 17:29:24,add_to_cart,190
19,4,93,2024-10-26 17:41:24,view_product,189
20,4,93,2024-10-26 17:49:24,view_product,163
21,5,330,2025-09-09 22:59:27,view_product,76
22,5,330,2025-09-09 23:03:27,add_to_cart,152
23,5,330,2025-09-09 23:11:27,start_checkout,181
24,6,261,2024-10-29 14:01:27,view_product,51
25,6,261,2024-10-29 14:10:27,add_to_cart,174
26,7,523,2025-05-27 01:02:00,view_product,64
27,7,523,2025-05-27 01:11:00,add_to_cart,69
28,7,523,2025-05-27 01:16:00,view_product,209
29,7,523,2025-05-27 01:17:00,add_to_cart,90
30,7,523,2025-05-27 01:06:00,view_product,64
31,8,295,2023-01-09 23:21:14,view_product,188
32,8,295,2023-01-09 23:29:14,add_to_cart,64
33,8,295,2023-01-09 23:25:14,view_product,133
34,8,295,2023-01-09 23:45:14,add_to_cart,220
35,8,295,2023-01-09 23:41:14,add_to_cart,28
36,8,295,2023-01-09 23:26:14,view_product,147
37,8,295,2023-01-09 23:39:14,view_product,252
38,8,295,2023-01-09 23:42:14,view_product,202
39,9,577,2024-03-16 07:23:14,view_product,215
40,9,577,2024-03-16 07:32:14,view_product,12
41,9,577,2024-03-16 07:31:14,add_to_cart,148
42,9,577,2024-03-16 07:47:14,view_product,168
43,10,313,2025-06-09 19:37:08,view_product,98
44,10,313,2025-06-09 19:43:08,start_checkout,229
45,10,313,2025-06-09 19:51:08,start_checkout,57
46,10,313,2025-06-09 19:55:08,view_product,9
47,10,313,2025-06-09 20:13:08,view_product,53
48,10,313,2025-06-09 19:57:08,add_to_cart,48
49,11,542,2023-08-20 05:57:05,view_product,160
50,11,542,2023-08-20 06:06:05,add_to_cart,49
51,12,146,2023-09-10 08:41:35,view_product,146
52,12,146,2023-09-10 08:50:35,start_checkout,95
53,12,146,2023-09-10 08:53:35,start_checkout,63
54,12,146,2023-09-10 09:05:35,view_product,71
55,12,146,2023-09-10 09:09:35,add_to_cart,140
56,12,146,2023-09-10 09:21:35,view_product,223
57,12,146,2023-09-10 09:17:35,purchase,216
58,12,146,2023-09-10 09:02:35,view_product,33
59,13,315,2025-08-30 20:00:06,view_product,47
60,13,315,2025-08-30 20:07:06,add_to_cart,36
61,13,315,2025-08-30 20:14:06,start_checkout,85
62,13,315,2025-08-30 20:06:06,view_product,72
63,14,565,2023-02-19 06:39:45,view_product,253
64,14,565,2023-02-19 06:44:45,purchase,225
65,14,565,2023-02-19 06:43:45,view_product,186
66,14,565,2023-02-19 07:00:45,view_product,64
67,15,47,2023-05-21 02:06:07,view_product,39
68,15,47,2023-05-21 02:09:07,add_to_cart,100
69,15,47,2023-05-21 02:10:07,start_checkout,146
70,15,47,2023-05-21 02:27:07,view_product,81
71,15,47,2023-05-21 02:34:07,view_product,5
72,15,47,2023-05-21 02:21:07,purchase,190
73,15,47,2023-05-21 02:24:07,view_product,249
74,15,47,2023-05-21 03:09:07,add_to_cart,179
75,16,144,2025-07-11 13:07:44,view_product,161
76,16,144,2025-07-11 13:12:44,add_to_cart,246
77,16,144,2025-07-11 13:19:44,start_checkout,15
78,16,144,2025-07-11 13:31:44,purchase,42
79,16,144,2025-07-11 13:31:44,view_product,246
80,16,144,2025-07-11 13:17:44,view_product,20
81,16,144,2025-07-11 13:13:44,purchase,
82,16,144,2025-07-11 13:49:44,start_checkout,193
83,17,290,2024-11-11 19:13:38,view_product,163
84,17,290,2024-11-11 19:21:38,start_checkout,123
85,17,290,2024-11-11 19:23:38,view_product,225
86,17,290,2024-11-11 19:16:38,view_product,187
87,17,290,2024-11-11 19:17:38,view_product,4
88,17,290,2024-11-11 19:53:38,view_product,147
89,17,290,2024-11-11 19:19:38,view_product,101
90,17,290,2024-11-11 19:55:38,view_product,80
91,18,229,2025-03-17 20:15:59,view_product,115
92,18,229,2025-03-17 20:19:59,start_checkout,154
93,18,229,2025-03-17 20:23:59,view_product,219
94,18,229,2025-03-17 20:24:59,purchase,
95,18,229,2025-03-17 20:19:59,view_product,182
96,19,249,2024-05-16 23:23:00,view_product,234
97,19,249,2024-05-16 23:25:00,start_checkout,231
98,19,249,2024-05-16 23:39:00,purchase,176
99,19,249,2024-05-16 23:32:00,add_to_cart,82
100,19,249,2024-05-16 23:55:00,view_product,234
101,19,249,2024-05-17 00:03:00,add_to_cart,41
102,19,249,2024-05-17 00:05:00,start_checkout,227
103,20,254,2025-07-02 09:46:25,view_product,79
104,20,254,2025-07-02 09:49:25,add_to_cart,155
105,20,254,2025-07-02 09:56:25,view_product,83
106,20,254,2025-07-02 10:04:25,add_to_cart,95
107,21,20,2025-10-21 05:11:49,view_product,246
108,21,20,2025-10-21 05:16:49,add_to_cart,200
109,21,20,2025-10-21 05:27:49,start_checkout,250
110,21,20,2025-10-21 05:38:49,view_product,202
111,21,20,2025-10-21 05:43:49,view_product,63
112,21,20,2025-10-21 05:56:49,view_product,41
113,21,20,2025-10-21 06:05:49,view_product,121
114,21,20,2025-10-21 06:00:49,view_product,6
115,22,66,2025-12-16 18:55:31,view_product,112
116,22,66,2025-12-16 18:59:31,add_to_cart,99
117,22,66,2025-12-16 19:03:31,start_checkout,203
118,22,66,2025-12-16 19:19:31,view_product,84
119,22,66,2025-12-16 19:07:31,view_product,197
120,22,66,2025-12-16 19:35:31,view_product,186
121,22,66,2025-12-16 19:31:31,view_product,124
122,22,66,2025-12-16 19:23:31,view_product,215
123,23,169,2023-07-26 10:26:15,view_product,27
124,23,169,2023-07-26 10:28:15,add_to_cart,6
125,23,169,2023-07-26 10:32:15,start_checkout,25
126,23,169,2023-07-26 10:32:15,view_product,254
127,23,169,2023-07-26 10:34:15,purchase,
